english_word,word_type,wolof_meaning
to fiddle with,v,jaabal
to finish,v,éegali
to frighten,v,joomal
to get,v,jot
to give,v,"jox, may"
to give to,v,joxe
to glade,v,ñedda
to go ahead,v,jiitu
to go fetch,v,indiji
to go through,v,fóla
to gossip,v,joow
to govern,v,jiité
to grow,v,mag
to hammer,v,marto
to hand,v,jox
to hand to,v,joxe
to heckle,v,tapaas
to herd,v,saama
to hide,v,laaxa
to hit a target,v,aaji
to insert,v,roof
to itch,v,esen
to jail,v,kaso
to join,v,waali
to kid,va,nax
to lack,va,manke
to lead,v,jiité
to leave,n,baay
to lick,v,mar
to lie,va,nar
to make a faced,v,gañaxu
to make reach,v,aagee/eegee
to mislead,v,juuwé/juwé
to miss,va,gelu
to mix,v,jaxas
to open,v,laaņa-laņaral
to owe,va,amel
to park,v,gaare
to partake,v,faral
to patch,adj,fata
to pay,v,fey
to pierce,v,jam
to point,v,joxoň
to prison,v,kaso
to promise,v,dénku
to prop,v,ton
to pull off,v,fuxi
to raise,va,naw
to rate,v,kalaase
to reach,v,aaga/eega
to ready,va,noppi
to rebel,v,fipu
to recognise,v,raañe
to refuse,v,gantu
to revenge,v,feyeeku
to revere,v,fonka
to roll,v,eñ
to run,ex,daani-daaņi
to scratch oneself,v,ookatu
to skid,v,mbar/mbarateku
to slide,v,"mbar/mbarateku, mbar/mbarateko"
to spend the night with,v,fanaane
to spread,v,riib
to stab,v,jam
to stamp,v,joggi
to steal,v,kaja
to straighten,v,jubal
to submerge,v,diig
to suck bones,v,mocaat
to surprise,v,jaaxal
to survive,va,mucca
to sway,v,biij
to taste,v,mos
to tease,va,nax
to tell alie(slang),v,duul
to tie,v,jënga
to turn,v,eñ
to twist,v,biij
to unbend,v,bijanti
to uncover,v,muuril
to unplug,v,fuxi
to warn,v,dénku
to wrap,n,lomas
to wriggle,v,ñuum-ñuutu
to yawn,v,óbbëli
tobacco powder,n,xemme
today,n,"bii, tey"
toe,n,baaraam
toe nail,n,we/wey
together(in piece of clo),va,ómba
toilet,n,"kama, wanag"
toilet paper,n,Jeeteekukaay
tomato paste,n,tomaate-loxati
tomatoes,n,tamaate
tomorrow,n,"ëllëk, saama, subba"
tom-tom,n,"ndënda, tama"
tongue,n,laameň
"too, also",adv,it
too much,va,oppal
too much in a gatherig,va,fédageéw
tool,n,suti
tooth,n,bón
top,prep,kow/kaw
tortoise,n,mbonaat
touch,v,"laal, laamba, maa"
tourist,n,tooris
town,n,"dekka, teeru"
trader,n,jula
tradition,n,cosaan
train,v,yar
train,n,"otoraay, saxaar"
train station,v,gaar
trainer,n,jangalekate
transaction,n,duggoo
transfer,v,kata
translation,n,firndé
transparent,va,perewere
transplant,v,jëmbat
traouble shooter,n,jaxasekat
trap,v,tër
trash,n,mbalit
travel,v,"taama, tukki, woyaas"
treat,v,faj
tree,n,garab
tremble,v,"kar-kari, kof-koffi, lox"
trend,adj,casgin
trend,va,saari
trespass,v,toon
tribe,n,"firdu, lebu, xeet"
tribe in Senegal,n,Jolof-jolof
trick,n,pexe
triditional exchange of s,v,root
trim,v,"emale, lii"
tripe,n,mbaaxa
trouble,v,tapaas
trouble,n,"fitna, kataa, seytaane"
trough,n,mbalka
trousers,n,tubéy
true,va,dégga
truely,adv,lënxa
trust,v,"laa, oólu"
truth,n,dégga
try,va,jeém
try,v,"fexe, koli-koli/kotor-koto"
try hard,va,goór-goórlu
try in,v,nata
tse-tsefly,n,weñ
tuck,v,sooti
Tuesday,n,talaata
turbin,n,kaala
turbulent,va,sob
Turkey,n,kóopin
turn,v,"jadda, olbati, ruuj, xeelu"
turn back,v,dóppa/dellu
turn down,v,daaxa
turn down,va,daaxa
turn face down,v,"dipi, dóppa/deppa"
turn off,v,fey
turn(corner),v,jaada
turtle,n,nduumaar
twelve bututs,n,tanka
twilight,n,marax
twinkle,v,raf
two,n,ñaar
two bututs,n,buréy
two-bob,n,tubaab
tye-dye,n,cuub
type,adv,fason
ugliness,va,ñaawaay
ugly,va,ñaaw
umbilical cord,n,xuca
unbrella,n,palansoor/palasoor
uncertain of one's way,va,gëlëm
uncle,n,nijaay
uncleanlines,n,noo
uncontrolable,va,të
uncover,v,dipi
under,prep,ron
under size,n,ndaama
under wear,n,suwetmaa
underate,va,"xeeb, xeebante"
underclothes,n,suwetmaa
underestimate,va,xeeb
underestimate each other,va,xeebante
undermine,v,ronu
understand,v,"déega, moy"
underwear,n,jiital
underwear (for men),n,genso
undo,v,firi
undo braids,va,fireeku
undress,v,futi
undressed,va,simeéku
unenergetic,va,nasax
unfold,v,leemi
unhook,v,aaji
unite,v,fici
unite,adj,meéngoo
united,n,"donkaasi, mankoo"
universe,n,aaduna
university,n,iniwersité
unload,v,eebi
unlog,v,luci
unpleasant,va,naxari
unravell,va,lucéeku
unslaughtered,n,meéda
unsmooth,n,ñagas
unstuff,v,"ñuxi, yuli"
unstuffed,n,ñuxit
unswell,v,rees
unthread,v,luci
untie,v,feeci
until,prep,be
untrained,va,yaradeku
unwanted,adj,lamba
up,prep,kow/kaw
up,va,fees
up to,prep,be
uproot,v,"buddi, suxi"
upset,va,mer
upside down,v,"juutu, juutal"
upto,postp,fo
urinate,v,seben
urinate,n,saw
urinate on oneself,v,sebenu
urine,n,saw
used in future imperative,av,si
used to,n,daan
used to,va,"miis, taama"
usefulness,n,njəriň
usual,adj,meena
utility,n,njəriň
utterance,n,baat
vaccinate,v,"ñakku, njënda"
vaccinate,n,penku
vaccine,n,njenda
vagina,n,"caapa, lëf"
value,n,"njəg, wulóor"
van,n,waan
"variant for ""be""",adv,bi
vegetables,n,lëjum
vehicle,n,"moto, oto/woto"
veil,v,waal
veranda,n,peron
verb predicator 1st Ps.,vp,dama
verse(in the holy Qur'n,n,saar
very,adv,"fer, lew, set, tek"
very,adj,law
very,inten,"kak, këŋ, kuk, lool, torop"
very hot,va,saas
very much,adv,fat
very new/fresh,adj,eesa-ees
very(solid),inten,këcc
vexed,va,mer
victory,n,ndam
village,n,dekka
village in Senegal,n,Jolof
violin,n,riiti
virgin,n,janxa
virginity,n,ndaw
vision,va,gis-gis
voice,n,baat
volunteer,v,"waakirlu, walanteeru"
vomit,v,"gala, wacu/wocu"
vote,v,wote
vow,v,"giñ/waat, waat"
vous,n,garan-palaas
voyage,v,woyaas
vulture,n,tan
wade,v,xuus
wager,v,gase
wages,n,pey
waggon,n,sareet
waif,n,doxandéem
waist,n,ndigga
wait,n,nég
wait,v,"leerandu, xaar"
wait for,v,gaapa/haar
wake someone up,v,"ee, yee/ee"
wake up,v,yeewu
wake up at,v,eewoo
wake up with,v,eewoo
walk,v,"dox, jeégi, leru, taama"
walk (about),v,yuus-yaas
walk fastly,v,farax-raxi
walk from,v,doxee
walk very slow,v,daagu
walk with,v,doxee
walking.,v,bañar-bañari
walk(quickly),v,waaxu
wall,n,maraaj
wall gecko,n,unka
wallet,n,"kalpe, nafa"
wander,v,"wór, yaay"
want,v,bugga
wanty,va,buggé
war,n,xare
warm oneself,v,jaaru
warm weather,n,tangaay
warp,v,laxas
warrior,n,jambaar
wash,v,"laab, raxas"
wash,va,laabu
wash clothes,v,"fóót, gumpa/guppa"
wash rice,v,sebet
washing pan,n,beñuwaar
wash (oneself),v,raxasu
wash (the face),v,sëlëm
wasp,n,nguri
waste basket,n,mbalit
watch,v,"garde, seetaan, xool"
watcher,n,gardekat
water,n,ndox
water,v,"roose, suux, tanxa"
water container,n,ndaa/ndaal
water lilly,n,mbaapa
water melon,n,beref
water tank,n,mbalka
watery,adj,ndoxe
waves,n,gandax
way,n,pexe
way of dress,n,colin
way to some place,v,jaada
we,isp,ñun
we,oe,leñu
we/they,cpt,ñu
We/they will,f,dineñu
we/they will not,fn,duñu
weak,va,"nasax, yolox"
wealthy,va,riis
wean,v,"fata, feral"
weapon,n,gaanaay
wear,v,sol
weave,v,raaba
weaver,n,raabakat
weaver bird,n,kacco-kacco
wed,v,"biti, takka"
wedding,n,sëy
wedding ceremony,n,céét
Wednesday,n,Aalarba/aaralba
week,n,bés bu ay
weigh,v,peese
welcome,v,teertu
welcome,int,sarga/sërica
well,n,téen
well,va,wér
well brought up,va,yaru
well poundered/grinned,va,mooka
wet,v,gaas
wet,va,tooy
wetness,n,"tooyaay, tooye"
whale,n,mbonkana
what,int,"lan, naka"
what/how are you,int,noo
what is?,int,luy
what(is),int,lu?
what(you),int,loo
wheel barrow,n,buruwet/puus-puus
when,n,su
when,inten,kañ
where,adv,"ana, foo, fu"
where,inten,fan
where are you?,adj,fooy
where is?,adj,fuy
where is it(contraction),adv,anam
whet/sharpen,v,daas
whether,conj,"fo, ndax"
which,int,jumaa
which,adj,ban
which,rp,gu
which is,rp,bu
which ones?,inten,yan?
while ago,adj,sanxa
whilse,v,bañar-bañari
whim,n,coobare
whip,n,kaacciri
whipcord,n,kaacciri
whiskers,n,mustaas
whistle,v,wolis
whistle,n,mbilib
white,n,weex
white,va,weex
white person,n,tubaab
white wash,n,balanse
white wash,v,balanse
who,rp,gu
who,int,"jumaa, kan?, ku!"
who is,int,kuy
whom,int,kan?
whom,rp,gu
whooping cough,n,"njaambataan, xuréet/njambataan"
whore,n,cagga
why,int,lutax?
wicked,va,"soxor, xiis"
wickedness,adj,mbon
wife,n,"jabar, soxna"
wild cat,n,siiru
wild vine fruit plant,n,kabaa
wind,n,ngelaw/ngelew
window,n,palanteer
windy,n,ngelaw/ngelew
wing,n,laaf
wink,v,piis
wink(roll the eye),v,xeelu
winnow,v,bees
winnowing basket,n,tenten
wipe,v,"fita, fompa, fómpu, Deeteeku"
wipe,va,laabu
wire,n,fiil
wire gauze,n,giriyaa
wise,va,muus
wish,n,sago
wish,v,nata
wish for,va,keéne/eéne
wish whole heartedly,v,éené
wishful,v,maa
witch,n,"dóma/dëma, xulaan"
witch doctor,n,jabar
with,prep,ci
withdraw,n,baay
withdrawn,va,beru
witness,v,"fekkee, teewee"
witness,n,sernde/seede
wizard,n,nooxoor
woe,n,cat
wolf,n,bukki
wolof,n,"Jolof-jolof, olof, wolof"
wolof dish,n,benacin
woman,n,"jigéen, soxna"
women's jacket,n,kamisool
woodworker,n,lawbe
word,n,kaadu
word for calling a cat,ex,muus
work,v,ligeéy
work,n,ligeey
work early in the morning,v,xéy
worker,n,ligeeykat
workshop,n,ataliye
worm,n,"marmaraan, saan"
worry,n,fitna
worse,va,yées
worship,v,"dagaan, jaamu"
worth,n,njég
wound,n,góom
wound,v,gaaň
wrapper,n,"lomosuwaay, mallam/monaam"
wrestler,n,mbor
wrestling,n,laamba
wriggle,v,luux-luuxi
write,v,"binda, fitaxu, rëdda"
writer,n,bindakat
yard,n,yaar
yawn,v,bóóbali
year,n,at
year before last,n,daaw jéeg
yes,ex,"naam, waaw"
yesterday,n,déemba
yield,n,gopp/péel
you,op,i
you,cm,nga
you,se,yaa
you,cp,nga
you,oe,nga
you,isp,yow
you,spn,i
you,opt,leen
you are,pl,yangi
you,emphatic,ite
you will (plural),f,dingeen
you will(singular),n,Dinga
you'll not,fn,doo
young man,n,woxambaane
young shoot,n,gancax
young woman,n,jeeg
younger(sibling),n,rakka
you(pl),oe,ngeen
you(pl),cm,ngeen
you(pl),cp,ngeen
your,pa,"sa, seen"
youth,n,ndaw
